subject,idna_subject,expiration_date,epoch
2gfx.com,2gfx.com,02-apr-2021,1617321600.0
2girls1cup-free.com,2girls1cup-free.com,09-mar-2021,1615248000.0
2girls1cup.cc,2girls1cup.cc,18-oct-2021,1634515200.0
2girls1cup.com,2girls1cup.com,12-aug-2021,1628726400.0
2girls1cup.ws,2girls1cup.ws,27-jul-2021,1627344000.0
2girls1finger.com,2girls1finger.com,12-nov-2021,1636675200.0
2girls1finger.org,2girls1finger.org,24-apr-2021,1619222400.0
2guys1stump.org,2guys1stump.org,29-may-2021,1622246400.0
2jav.com,2jav.com,06-apr-2021,1617667200.0
2msex.com,2msex.com,13-apr-2021,1618272000.0
360overseas.com,360overseas.com,04-jun-2021,1622764800.0
3angelsvideo.com,3angelsvideo.com,14-apr-2021,1618358400.0
3animalsextube.com,3animalsextube.com,03-apr-2021,1617408000.0
3arabicporn.com,3arabicporn.com,25-nov-2021,1637798400.0
3arabporn.com,3arabporn.com,15-jan-2022,1642204800.0
3arabxnxx.com,3arabxnxx.com,22-may-2021,1621641600.0
3arbsex.com,3arbsex.com,23-apr-2021,1619136000.0
3at3ot.com,3at3ot.com,02-jul-2021,1625184000.0
3d-flashgames.com,3d-flashgames.com,29-apr-2021,1619654400.0
3dgirlz2.com,3dgirlz2.com,18-apr-2022,1650240000.0
3dhentaianime.com,3dhentaianime.com,17-jul-2021,1626480000.0
3dhentaivideo.com,3dhentaivideo.com,28-apr-2021,1619568000.0
3dporntubex.info,3dporntubex.info,20-apr-2021,1618876800.0
3dsexgames.biz,3dsexgames.biz,16-nov-2021,1637020800.0
3dsexmovies.biz,3dsexmovies.biz,10-may-2021,1620604800.0
3dtube.xxx,3dtube.xxx,28-jan-2021,1611792000.0
3dvision-blog.com,3dvision-blog.com,14-jun-2022,1655164800.0
3dxstar.com,3dxstar.com,22-mar-2021,1616371200.0
3dyank.com,3dyank.com,25-apr-2021,1619308800.0
3gpking.pro,3gpking.pro,10-aug-2021,1628553600.0
3gpkings.info,3gpkings.info,14-feb-2021,1613260800.0
3guys1hammer.ws,3guys1hammer.ws,30-may-2021,1622332800.0
3javdaily.com,3javdaily.com,26-aug-2021,1629936000.0
3movs.com,3movs.com,10-apr-2025,1744243200.0
3porn.video,3porn.video,06-apr-2021,1617667200.0
3pornstarmovies.com,3pornstarmovies.com,14-mar-2025,1741910400.0
3prn.com,3prn.com,11-jul-2021,1625961600.0
3rab-nar.com,3rab-nar.com,08-feb-2021,1612742400.0
3sex.com,3sex.com,11-aug-2021,1628640000.0
3virgin.com,3virgin.com,12-feb-2021,1613088000.0
3wasonnet.com,3wasonnet.com,13-sep-2021,1631491200.0
3x.ro,3x.ro,10-jul-2021,1625875200.0
3xdl.com,3xdl.com,22-jun-2021,1624320000.0
3xnews.com,3xnews.com,24-mar-2021,1616544000.0
3xplanet.com,3xplanet.com,30-jan-2021,1611964800.0
3xtraffic.com,3xtraffic.com,19-apr-2021,1618790400.0
40best.com,40best.com,16-aug-2021,1629072000.0
40somethingmag.com,40somethingmag.com,21-feb-2021,1613865600.0
41tube.com,41tube.com,04-sep-2021,1630713600.0
420chan.org,420chan.org,21-apr-2021,1618963200.0
429tube.com,429tube.com,14-feb-2021,1613260800.0
4affiliate.net,4affiliate.net,18-jun-2021,1623974400.0
4arabsex.net,4arabsex.net,14-mar-2021,1615680000.0
4bir.com,4bir.com,27-nov-2022,1669507200.0
4cdn.org,4cdn.org,18-nov-2024,1731888000.0
4chan.org,4chan.org,14-feb-2023,1676332800.0
4channel.org,4channel.org,12-sep-2022,1662940800.0
4club.com,4club.com,05-may-2022,1651708800.0
4girlsfingerpaint.com,4girlsfingerpaint.com,06-dec-2021,1638748800.0
4girlsfingerpaint.org,4girlsfingerpaint.org,01-jun-2021,1622505600.0
4porn.com,4porn.com,27-may-2021,1622073600.0
4sexwebcams.com,4sexwebcams.com,08-jul-2021,1625702400.0
4tube.com,4tube.com,05-jun-2026,1780617600.0
4tube.tech,4tube.tech,16-may-2021,1621123200.0
4ukai.me,4ukai.me,07-dec-2022,1670371200.0
4woodsusa.com,4woodsusa.com,25-feb-2021,1614211200.0
500girls.com,500girls.com,17-apr-2021,1618617600.0
50yearoldsluts.com,50yearoldsluts.com,25-aug-2021,1629849600.0
52av.tv,52av.tv,18-jan-2022,1642464000.0
5a7.com,5a7.com,25-may-2021,1621900800.0
5fing.com,5fing.com,17-mar-2021,1615939200.0
5pee.com,5pee.com,01-jul-2021,1625097600.0
5sextube.com,5sextube.com,05-apr-2021,1617580800.0
6-ar.com,6-ar.com,16-apr-2021,1618531200.0
60milfs.com,60milfs.com,06-aug-2021,1628208000.0
666pictures.com,666pictures.com,17-may-2021,1621209600.0
66beauty.com,66beauty.com,21-apr-2021,1618963200.0
69games.xxx,69games.xxx,06-dec-2021,1638748800.0
69glam.com,69glam.com,05-apr-2022,1649116800.0
69gv.net,69gv.net,11-jun-2021,1623369600.0
69matureporn.com,69matureporn.com,31-jul-2021,1627689600.0
69pornclips.com,69pornclips.com,28-mar-2021,1616889600.0
69pornoplace.com,69pornoplace.com,06-feb-2021,1612569600.0
69rs.com,69rs.com,30-mar-2021,1617062400.0
69style.com,69style.com,05-may-2021,1620172800.0
69xxxtube.com,69xxxtube.com,28-apr-2021,1619568000.0
6aa.info,6aa.info,17-jul-2021,1626480000.0
6anuncio.com,6anuncio.com,24-jul-2021,1627084800.0
6banat.com,6banat.com,09-feb-2021,1612828800.0
6escortgirls.com,6escortgirls.com,19-apr-2021,1618790400.0
6kea.com,6kea.com,25-oct-2021,1635120000.0
6white.com,6white.com,10-jun-2021,1623283200.0
6xtube.com,6xtube.com,13-aug-2021,1628812800.0
6xxxvideos.com,6xxxvideos.com,10-may-2021,1620604800.0
7-7-7-partner.com,7-7-7-partner.com,31-aug-2021,1630368000.0
777livecams.com,777livecams.com,16-feb-2021,1613433600.0
777xporn.com,777xporn.com,01-sep-2021,1630454400.0
7avenue.com,7avenue.com,18-mar-2022,1647561600.0
7cow.com,7cow.com,26-may-2021,1621987200.0
7ecrit.com,7ecrit.com,21-feb-2021,1613865600.0
7his.com,7his.com,30-may-2021,1622332800.0
7thumbs.com,7thumbs.com,21-aug-2021,1629504000.0
7virgin.com,7virgin.com,03-apr-2021,1617408000.0
866lvgirls.com,866lvgirls.com,23-jul-2022,1658534400.0
888173.net,888173.net,09-feb-2021,1612828800.0
88cum.com,88cum.com,17-jun-2021,1623888000.0
88fuck.com,88fuck.com,25-feb-2021,1614211200.0
88gals.com,88gals.com,15-aug-2021,1628985600.0
89.com,89.com,30-jul-2025,1753833600.0
89.vc,89.vc,25-feb-2021,1614211200.0
8asiansex.com,8asiansex.com,12-jun-2021,1623456000.0
8muses.com,8muses.com,26-mar-2021,1616716800.0
8pug.com,8pug.com,05-may-2021,1620172800.0
8teenxxx.com,8teenxxx.com,29-mar-2021,1616976000.0
8thstreetlatinas.com,8thstreetlatinas.com,14-jun-2021,1623628800.0
99cams.com,99cams.com,06-aug-2021,1628208000.0
9content.com,9content.com,27-jun-2021,1624752000.0
9gag2.com,9gag2.com,21-feb-2021,1613865600.0
9hz.com,9hz.com,04-feb-2021,1612396800.0
9m.com.br,9m.com.br,04-jun-2021,1622764800.0
a-b-p-group.com,a-b-p-group.com,29-jul-2021,1627516800.0
a-teenz.com,a-teenz.com,17-dec-2023,1702771200.0
a-tribute-to.com,a-tribute-to.com,01-may-2021,1619827200.0
a1stars.net,a1stars.net,11-apr-2021,1618099200.0
a1tb.com,a1tb.com,12-apr-2021,1618185600.0
aaliyahlove.com,aaliyahlove.com,15-may-2021,1621036800.0
aampmaps.com,aampmaps.com,23-jul-2021,1626998400.0
aaroncute.com,aaroncute.com,14-feb-2022,1644796800.0
aaronsangels.com,aaronsangels.com,21-jun-2021,1624233600.0
aasexe.com,aasexe.com,13-feb-2021,1613174400.0
aastory.xyz,aastory.xyz,07-feb-2021,1612656000.0
aavideo.xyz,aavideo.xyz,21-jul-2021,1626825600.0
abacome.net,abacome.net,07-may-2021,1620345600.0
abadboy.com,abadboy.com,13-jun-2021,1623542400.0
abbywinters.com,abbywinters.com,20-aug-2021,1629417600.0
abc-celebs.com,abc-celebs.com,19-jul-2021,1626652800.0
abcdefamosas.xyz,abcdefamosas.xyz,28-jun-2021,1624838400.0
